Aa (architect)	Aa
Albert Frederick, Duke of Prussia	Albert Frederick, Duke of Prussia
Albert III, Duke of Saxony	Albert III
Albert Pike	Albert Pike
Albert Schweitzer	Albert Schweitzer
Albert Sidney Johnston	General Johnston
Albert Spalding	Albert Spalding
Albert Speer	Albert Speer
Albert the Bear	Albert the Bear
Alberto Giacometti	Alberto Giacometti
Alberto Giacometti	Giacometti
Albertus Magnus	Albertus Magnus
Alboin	Alboin
Albrecht Dürer	Durer
Alcuin	Albinus
Aldona of Lithuania	Aldona
Aldous Huxley	Aldous Huxley
Aleister Crowley	To Mega Therion
Aleksandr Solzhenitsyn	Aleksandr Solzhenitsyn
Alessandro Algardi	Alessandro Algardi
Alessandro Allori	Alessandro Allori
Alessandro Volta	Alessandro
Alex Lifeson	Alex Lifeson
Alexander Agassiz	Alexander Emanuel Agassiz
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	AGB
Alexander Grothendieck	Alexander Grothendieck
Alexander III of Russia	Emperor Alexander
Alexander III of Scotland	Alexander III of Scotland
Alexander III of Scotland	Cultural depictions of Alexander III of Scotland
Alexander II of Scotland	Alexander II of Scotland
Alexander II of Scotland	Cultural depictions of Alexander II of Scotland
Alexander I of Scotland	Alexander I of Scotland
Alexander I of Scotland	Cultural depictions of Alexander I of Scotland
Alexander I of Serbia	Alexander I of Serbia
Alexander Jagiellon	Alexander Jagiellon
Alexander Jannaeus	Alexander Jannaeus
Alexander Kerensky	Alexander Kerensky
Alexander Mackenzie	Alexander Mackenzie
Alexander Selkirk	Selkirk
Alexander the Great	Alexander the Great
Alexander the Great	Alexandrian Empire
Alexei Petrovich, Tsarevich of Russia	Alexius
Alexei Petrovich, Tsarevich of Russia	Tsarevich Alexei Petrovich of Russia
Alexey Pajitnov	Alexey Pajitnov
Alexios III Angelos	Alexios Angelos
Alexios I Komnenos	Alexios I Komnenos
Alexios V Doukas	Emperor Alexius
Alexis Carrel	Alexis Carrel
Alexis Korner	Alexis Korner
Alfons Maria Jakob	Alfons Maria Jakob
Alfonso Cuarón	Alfonso Cuarón
Alfonso III of Aragon	Alfonso III of Aragon
Alfonso IV of Aragon	Alfonso IV of Aragon
Alfonso V of Aragon	Alfonso V of Aragon
Alfonso XIII of Spain	Alfonso XIII of Spain
Alfonso XII of Spain	Alfonso, Prince of Asturias
Alfonso the Battler	Alfonso the Battler
Alfred Hitchcock	Alfred Hitchcock
Alfred Jarry	Alfred Jarry
Alfred Korzybski	Korzybie
